Number,City,Gender,Age,Income,Illness
155,Dallas,1,36,1,1
156,Dallas,1,32,0,0
157,Dallas,0,48,0,0
158,Dallas,1,51,0,0
159,Dallas,0,59,0,0
160,Dallas,0,29,0,0
161,Dallas,1,27,0,1
162,Dallas,0,49,0,0
163,Dallas,1,54,0,0
164,Dallas,1,63,0,0
165,Dallas,1,47,1,0
166,Dallas,0,55,1,0
167,Dallas,0,45,1,0
168,Dallas,1,43,0,0
169,Dallas,0,25,0,0
170,Dallas,1,56,0,0
171,Dallas,1,54,1,0
172,Dallas,0,40,0,0
173,Dallas,1,28,0,0
174,Dallas,1,44,0,0
175,Dallas,0,47,0,0
176,Dallas,0,25,1,0
177,Dallas,1,65,0,0
178,Dallas,1,38,0,0
179,Dallas,0,54,1,0
180,Dallas,0,64,1,1
181,Dallas,1,38,0,0
182,Dallas,0,51,1,0
183,Dallas,1,28,1,0
184,Dallas,0,50,0,0
185,Dallas,0,47,0,0
186,Dallas,1,41,0,0
187,Dallas,0,28,0,0
188,Dallas,1,44,0,0
189,Dallas,1,56,0,0
190,Dallas,0,30,0,0
191,Dallas,0,64,1,0
192,Dallas,0,34,1,0
193,Dallas,0,52,0,0
194,Dallas,1,54,0,0
195,Dallas,0,52,0,0
196,Dallas,0,32,0,0
197,Dallas,0,51,0,0
198,Dallas,0,45,1,0
199,Dallas,1,58,0,0
200,Dallas,1,37,1,0
201,Dallas,0,56,1,0
202,Dallas,0,35,0,0
203,Dallas,0,36,0,0
204,Dallas,0,58,0,0
205,Dallas,0,40,1,0
206,Dallas,0,55,0,0
207,Dallas,0,39,0,0
208,Dallas,1,40,0,0
209,Dallas,1,27,1,0
210,Dallas,0,26,1,0
211,Dallas,0,38,0,0
212,Dallas,0,34,0,0
213,Dallas,1,47,0,0
214,Dallas,1,44,0,0
215,Dallas,1,40,0,0
216,Dallas,1,33,0,0
217,Dallas,1,41,0,0
218,Dallas,0,42,0,0
219,Dallas,1,43,0,0
220,Dallas,1,55,0,0
221,Dallas,1,51,0,0
222,Dallas,1,30,0,0
223,Dallas,0,45,0,0
224,Dallas,1,47,1,0
225,Dallas,1,61,1,0
226,Dallas,0,33,0,0
227,Dallas,1,39,1,0
228,Dallas,0,53,0,0
229,Dallas,0,57,0,0
230,Dallas,0,61,0,0
231,Dallas,1,53,0,0
232,Dallas,0,27,0,0
233,Dallas,0,26,0,0
234,Dallas,0,40,1,0
235,Dallas,0,56,0,0
236,Dallas,0,42,0,0
237,Dallas,1,29,0,0
238,Dallas,1,54,0,0
239,Dallas,0,32,0,0
240,Dallas,1,33,0,0
241,Dallas,0,49,0,0
242,Dallas,0,35,0,0
243,Dallas,0,49,0,0
244,Dallas,0,34,0,0
245,Dallas,1,61,0,0
246,Dallas,1,40,0,1
247,Dallas,1,52,0,1
248,Dallas,1,35,0,0
249,Dallas,0,45,1,0
250,Dallas,0,44,0,0
251,Dallas,0,44,0,0
252,Dallas,0,56,0,0
253,Dallas,0,56,1,0
254,Dallas,1,64,0,0
255,Dallas,0,41,0,0
256,Dallas,1,54,0,0
257,Dallas,0,56,0,0
258,Dallas,1,46,0,0
259,Dallas,0,54,0,0
260,Dallas,0,38,0,1
261,Dallas,0,28,0,0
262,Dallas,1,44,0,0
263,Dallas,0,28,0,0
264,Dallas,1,61,0,0
265,Dallas,0,44,0,0
266,Dallas,0,62,1,0
267,Dallas,0,50,0,0
268,Dallas,0,31,0,0
269,Dallas,0,59,0,0
270,Dallas,0,26,0,0
271,Dallas,0,47,0,0
272,Dallas,1,60,1,0
273,Dallas,1,53,1,0
274,Dallas,0,63,0,1
275,Dallas,0,55,1,0
276,Dallas,0,63,0,0
277,Dallas,0,43,0,0
278,Dallas,0,31,0,0
279,Dallas,1,61,1,0
280,Dallas,1,65,0,0
281,Dallas,0,34,1,0
282,Dallas,0,38,1,0
283,Dallas,1,62,0,0
284,Dallas,0,31,0,0
285,Dallas,0,60,0,0
286,Dallas,0,58,0,0
287,Dallas,1,30,0,0
288,Dallas,1,46,1,1
289,Dallas,0,41,0,0
290,Dallas,1,28,0,0
291,Dallas,1,38,1,0
292,Dallas,0,40,0,0
293,Dallas,1,44,0,0
294,Dallas,0,54,0,1
295,Dallas,1,60,0,0
296,Dallas,0,30,0,0
297,Dallas,0,26,1,0
298,Dallas,0,39,0,0
299,Dallas,0,41,1,0
300,Dallas,0,57,0,1
301,Dallas,0,36,1,0
302,Dallas,0,56,0,0
303,Dallas,0,34,0,0
304,Dallas,0,32,0,0
305,Dallas,0,57,0,0
306,Dallas,1,62,0,0
307,Dallas,0,61,0,0
308,Dallas,1,37,0,0
309,Dallas,0,36,1,0
310,Dallas,0,50,0,0
311,Dallas,0,46,1,0
312,Dallas,1,34,0,0
313,Dallas,0,63,0,0
314,Dallas,1,44,1,0
315,Dallas,0,44,0,0
316,Dallas,0,26,1,1
317,Dallas,0,50,0,0
318,Dallas,1,65,0,0
319,Dallas,1,39,1,0
320,Dallas,0,37,1,0
321,Dallas,0,48,0,0
322,Dallas,1,40,0,0
323,Dallas,0,25,0,0
324,Dallas,0,28,0,0
325,Dallas,0,38,0,0
326,Dallas,1,44,0,0
327,Dallas,0,54,0,0
328,Dallas,1,47,0,0
329,Dallas,1,42,1,0
330,Dallas,1,62,1,1
331,Dallas,0,50,0,0
332,Dallas,1,61,0,0
333,Dallas,0,29,1,0
334,Dallas,0,63,0,0
335,Dallas,0,51,1,0
336,Dallas,0,28,0,0
337,Dallas,0,45,0,0
338,Dallas,0,44,0,1
339,Dallas,0,36,0,0
340,Dallas,1,29,0,0
341,Dallas,0,49,1,0
342,Dallas,0,44,0,0
343,Dallas,0,37,0,0
344,Dallas,0,42,1,0
345,Dallas,0,30,1,0
346,Dallas,0,47,1,0
347,Dallas,1,36,1,1
348,Dallas,1,33,1,0
349,Dallas,1,55,0,0
350,Dallas,0,39,0,0
351,Dallas,0,61,0,0
352,Dallas,1,51,0,0
353,Dallas,1,35,0,0
354,Dallas,1,49,1,0
355,Dallas,0,43,1,1
356,Dallas,0,37,1,0
357,Dallas,1,34,0,0
358,Dallas,0,51,1,0
359,Dallas,1,48,0,0
360,Dallas,1,27,0,0
361,Dallas,0,62,0,0
362,Dallas,1,33,0,0
363,Dallas,1,33,0,0
364,Dallas,0,50,0,0
365,Dallas,1,32,1,0
366,Dallas,1,49,1,0
367,Dallas,1,59,0,0
368,Dallas,1,52,1,0
369,Dallas,1,43,0,0
370,Dallas,1,44,0,0
371,Dallas,0,44,0,0
372,Dallas,1,25,0,0
373,Dallas,1,36,0,0
374,Dallas,1,36,0,0
375,Dallas,0,60,0,0
376,Dallas,0,61,1,0
377,Dallas,1,43,0,0
378,Dallas,0,47,0,0
379,Dallas,1,63,0,0
380,Dallas,0,54,0,1
381,Dallas,1,48,1,0
382,Dallas,0,36,0,0
383,Dallas,1,61,1,0
384,Dallas,1,30,0,0
385,Dallas,0,45,1,0
386,Dallas,0,57,0,0
387,Dallas,0,61,0,0
388,Dallas,1,56,0,0
389,Dallas,0,42,0,0
390,Dallas,0,37,1,0
391,Dallas,1,48,1,0
392,Dallas,1,38,0,0
393,Dallas,1,54,0,0
394,Dallas,1,54,0,0
395,Dallas,0,36,0,0
396,Dallas,1,36,0,0
397,Dallas,0,34,1,0
398,Dallas,0,62,0,1
399,Dallas,0,50,0,0
400,Dallas,0,38,0,0
401,Dallas,0,42,0,0
402,Dallas,0,43,0,0
403,Dallas,1,35,0,0
404,Dallas,0,42,0,1
405,Dallas,0,65,0,0
406,Dallas,0,39,0,0
407,Dallas,1,65,0,0
408,Dallas,1,47,0,0
409,Dallas,0,27,0,0
410,Dallas,1,43,1,0
411,Dallas,0,56,0,0
412,Dallas,0,62,1,0
413,Dallas,1,60,0,0
414,Dallas,1,53,0,0
415,Dallas,0,35,0,0
416,Dallas,0,29,1,0
417,Dallas,0,51,0,0
418,Dallas,0,42,0,0
419,Dallas,0,31,1,0
420,Dallas,1,59,0,0
421,Dallas,0,46,0,0
422,Dallas,0,42,0,0
423,Dallas,1,56,0,0
424,Dallas,1,28,0,0
425,Dallas,0,33,0,0
426,Dallas,1,59,1,0
427,Dallas,1,40,0,0
428,Dallas,1,56,0,0
429,Dallas,0,52,0,0
430,Dallas,1,36,0,0
431,Dallas,0,51,0,0
432,Dallas,0,55,0,0
433,Dallas,1,48,1,0
434,Dallas,1,54,0,0
435,Dallas,1,58,0,0
436,Dallas,1,61,0,0
437,Dallas,1,64,1,0
438,Dallas,0,31,0,0
439,Dallas,0,28,0,0
440,Dallas,0,59,1,0
441,Dallas,1,27,0,1
442,Dallas,1,64,0,0
443,Dallas,0,25,0,0
444,Dallas,0,49,0,1
445,Dallas,1,60,0,0
446,Dallas,0,30,1,0
447,Dallas,0,41,0,0
448,Dallas,0,47,0,0
449,Dallas,1,46,0,0
450,Dallas,0,43,0,1
451,Dallas,0,56,0,0
452,Dallas,0,64,0,0
453,Dallas,1,26,1,0
454,Dallas,1,30,0,0
455,Dallas,1,38,0,0
456,Dallas,0,42,0,0
457,Dallas,0,42,0,0
458,Dallas,0,30,1,0
459,Dallas,0,50,0,0
460,Dallas,1,36,0,0
461,Dallas,0,64,0,1
462,Dallas,1,40,0,0
463,Dallas,0,62,0,0
464,Dallas,0,41,0,0
465,Dallas,0,41,0,0
466,Dallas,0,53,0,0
467,Dallas,0,38,1,0
468,Dallas,1,45,0,0
469,Dallas,0,28,0,1
470,Dallas,0,65,0,0
471,Dallas,1,58,0,1
472,Dallas,0,59,0,0
473,Dallas,0,41,0,1
474,Dallas,1,39,1,0
475,Dallas,1,38,0,0
476,Dallas,0,62,0,1
477,Dallas,0,37,0,0
478,Dallas,1,30,0,0
479,Dallas,0,39,0,0
480,Dallas,0,29,0,0
481,Dallas,1,57,0,0
482,Dallas,0,41,0,0
483,Dallas,1,29,0,0
484,Dallas,1,48,1,0
485,Dallas,0,58,0,0
486,Dallas,1,30,0,0
487,Dallas,0,57,0,0
488,Dallas,1,27,0,1
489,Dallas,0,49,0,0
490,Dallas,0,60,0,0
491,Dallas,0,52,0,0
492,Dallas,1,35,0,0
493,Dallas,1,32,0,0
494,Dallas,0,33,0,0
495,Dallas,0,29,0,0
496,Dallas,0,44,0,0
497,Dallas,0,44,0,0
498,Dallas,0,58,0,0
499,Dallas,0,38,0,0
500,Dallas,1,59,0,0
501,Dallas,0,50,1,0
502,Dallas,0,39,0,0
503,Dallas,1,33,0,0
504,Dallas,0,51,0,0
505,Dallas,1,55,0,0
506,Dallas,1,29,1,0
507,Dallas,1,54,0,0
508,Dallas,1,29,1,0
509,Dallas,0,44,0,0
510,Dallas,1,36,1,0
511,Dallas,1,55,0,0
512,Dallas,1,65,0,0
513,Dallas,1,59,0,1
514,Dallas,0,41,0,0
515,Dallas,1,42,0,0
516,Dallas,0,40,0,0
517,Dallas,0,44,0,0
518,Dallas,0,38,0,0
519,Dallas,0,49,0,0
520,Dallas,0,57,0,0
521,Dallas,0,35,0,1
522,Dallas,0,38,1,0
523,Dallas,0,26,0,0
524,Dallas,0,41,0,0
525,Dallas,0,60,0,0
526,Dallas,1,34,0,0
527,Dallas,0,62,0,0
528,Dallas,0,63,0,0
529,Dallas,0,61,0,0
530,Dallas,1,45,1,1
531,Dallas,0,38,0,0
532,Dallas,0,63,0,0
533,Dallas,1,38,0,0
534,Dallas,1,39,0,0
535,Dallas,0,56,0,0
536,Dallas,1,27,0,0
537,Dallas,1,51,0,0
538,Dallas,1,33,1,0
539,Dallas,0,28,1,0
540,Dallas,0,54,0,0
541,Dallas,0,54,0,0
542,Dallas,0,30,1,0
543,Dallas,0,29,1,0
544,Dallas,1,27,0,0
545,Dallas,0,32,1,0
546,Dallas,0,43,0,0
547,Dallas,1,37,0,0
548,Dallas,0,53,0,0
549,Dallas,0,34,0,1
550,Dallas,0,52,1,0
551,Dallas,0,26,0,0
552,Dallas,0,48,0,0
553,Dallas,0,30,0,0
554,Dallas,1,41,1,0
555,Dallas,0,52,0,0
556,Dallas,1,54,1,0
557,Dallas,1,51,0,1
558,Dallas,1,57,1,0
559,Dallas,1,59,0,0
560,Dallas,1,64,0,0
561,Dallas,1,28,0,0
562,Dallas,0,63,0,0
563,Dallas,0,28,1,1
564,Dallas,1,61,0,0
565,Dallas,0,59,0,0
566,Dallas,1,44,0,0
567,Dallas,1,41,1,0
568,Dallas,1,47,0,0
569,Dallas,0,58,0,0
570,Dallas,1,31,0,0
571,Dallas,0,28,0,0
572,Dallas,0,39,0,0
573,Dallas,0,36,0,0
574,Dallas,1,50,0,0
575,Dallas,1,38,1,0
576,Dallas,0,59,1,0
577,Dallas,0,49,0,0
578,Dallas,0,39,0,0
579,Dallas,1,31,1,0
580,Dallas,0,31,1,1
581,Dallas,1,35,1,0
582,Dallas,0,34,1,0
583,Dallas,1,63,1,0
584,Dallas,0,51,0,0
585,Dallas,0,63,1,0
586,Dallas,0,60,0,0
587,Dallas,0,60,0,0
588,Dallas,1,48,0,0
589,Dallas,0,46,0,0
590,Dallas,1,32,0,0
591,Dallas,1,49,0,0
592,Dallas,1,60,1,0
593,Dallas,0,62,0,0
594,Dallas,0,29,0,0
595,Dallas,1,57,1,0
596,Dallas,1,40,0,0
597,Dallas,0,55,0,0
598,Dallas,0,44,0,0
599,Dallas,0,37,0,0
600,Dallas,1,56,0,0
601,Dallas,0,33,1,0
602,Dallas,1,36,0,0
603,Dallas,0,53,0,0
604,Dallas,1,57,0,0
605,Dallas,0,30,0,0
606,Dallas,0,34,0,0
607,Dallas,0,42,0,0
608,Dallas,1,57,0,1
609,Dallas,0,49,0,0
610,Dallas,1,43,0,1
611,Dallas,0,27,0,1
612,Dallas,1,33,1,0
613,Dallas,0,50,0,0
614,Dallas,0,61,0,1
615,Dallas,0,49,0,0
616,Dallas,1,27,0,1
617,Dallas,0,34,0,0
618,Dallas,1,47,0,0
619,Dallas,0,56,0,0
620,Dallas,0,33,1,0
621,Dallas,1,43,0,0
622,Dallas,0,35,0,0
623,Dallas,1,48,0,1
624,Dallas,0,51,0,0
625,Dallas,0,56,0,0
626,Dallas,0,25,1,0
627,Dallas,0,31,0,0
628,Dallas,0,57,1,0
629,Dallas,1,52,0,0
630,Dallas,0,60,0,0
631,Dallas,1,39,0,0
632,Dallas,1,45,0,0
633,Dallas,0,60,0,0
634,Dallas,1,33,0,1
635,Dallas,1,26,0,0
636,Dallas,0,27,1,0
637,Dallas,1,36,0,0
638,Dallas,1,31,0,0
639,Dallas,1,29,1,0
640,Dallas,0,41,0,0
641,Dallas,1,58,0,0
642,Dallas,0,61,0,0
643,Dallas,0,25,1,0
644,Dallas,1,44,1,0
645,Dallas,1,41,0,0
646,Dallas,1,33,0,0
647,Dallas,0,33,0,0
648,Dallas,1,34,0,0
649,Dallas,0,34,0,0
650,Dallas,1,42,0,0
651,Dallas,0,31,0,0
652,Dallas,1,30,0,0
653,Dallas,1,26,1,0
654,Dallas,0,49,0,1
655,Dallas,0,60,1,0
656,Dallas,0,29,0,0
657,Dallas,1,37,1,0
658,Dallas,1,53,0,0
659,Dallas,0,31,0,1
660,Dallas,0,58,0,0
661,Dallas,0,61,1,0
662,Dallas,0,36,0,0
663,Dallas,0,62,0,0
664,Dallas,0,48,0,0
665,Dallas,0,34,0,0
666,Dallas,0,37,1,1
667,Dallas,0,58,0,0
668,Dallas,1,61,0,0
669,Dallas,0,39,0,0
670,Dallas,1,37,0,0
671,Dallas,1,33,0,0
672,Dallas,0,59,0,0
673,Dallas,0,27,0,0
674,Dallas,0,58,1,0
675,Dallas,0,62,0,0
676,Dallas,0,56,0,1
677,Dallas,1,29,0,0
678,Dallas,0,59,0,0
679,Dallas,0,64,0,0
680,Dallas,0,35,1,0
681,Dallas,1,26,0,0
682,Dallas,0,44,0,0
683,Dallas,0,35,0,0
684,Dallas,0,58,0,1
685,Dallas,1,55,0,0
686,Dallas,0,56,0,0
687,Dallas,1,32,1,0
688,Dallas,1,64,0,0
689,Dallas,0,50,0,0
690,Dallas,0,62,0,0
691,Dallas,0,55,1,0
692,Dallas,1,61,0,0
693,Dallas,0,41,1,0
694,Dallas,1,56,0,0
695,Dallas,0,27,0,0
696,Dallas,1,63,0,0
697,Dallas,0,57,0,0
698,Dallas,1,27,0,0
699,Dallas,0,64,1,0
700,Dallas,0,37,1,0
701,Dallas,1,26,0,0
702,Dallas,0,49,0,0
703,Dallas,0,50,1,0
704,Dallas,0,32,0,0
705,Dallas,0,41,0,0
706,Dallas,0,44,0,1
707,Dallas,0,47,0,0
708,Dallas,1,57,0,0
709,Dallas,0,43,1,0
710,Dallas,1,53,0,0
711,Dallas,0,44,0,0
712,Dallas,0,60,1,0
713,Dallas,1,60,1,0
714,Dallas,1,54,0,0
715,Dallas,1,65,1,0
716,Dallas,0,58,0,0
717,Dallas,1,51,1,0
718,Dallas,0,26,0,0
719,Dallas,1,44,1,0
720,Dallas,0,46,1,0
721,Dallas,1,46,0,0
722,Dallas,1,55,0,0
723,Dallas,1,35,0,0
724,Dallas,1,58,0,0
725,Dallas,0,58,0,1
726,Dallas,0,38,0,0
727,Dallas,0,43,1,1
728,Dallas,0,46,0,0
729,Dallas,0,46,0,0
730,Dallas,0,53,0,0
731,Dallas,0,39,0,0
732,Dallas,1,32,0,0
733,Dallas,0,47,1,0
734,Dallas,0,37,0,0
735,Dallas,0,54,0,0
736,Dallas,0,54,0,0
737,Dallas,0,33,1,0
738,Dallas,0,44,1,0
739,Dallas,1,33,0,0
740,Dallas,1,28,0,0
741,Dallas,1,61,0,0
742,Dallas,0,40,0,0
743,Dallas,0,52,0,0
744,Dallas,0,32,0,1
745,Dallas,1,44,0,0
746,Dallas,1,28,0,0
747,Dallas,0,61,0,0
748,Dallas,1,32,1,0
749,Dallas,1,54,1,0
750,Dallas,1,37,0,0
751,Dallas,0,32,1,0
752,Dallas,1,47,0,0
753,Dallas,1,27,0,0
754,Dallas,0,25,0,0
755,Dallas,1,44,1,0
756,Dallas,0,54,1,0
757,Dallas,0,55,0,0
758,Dallas,0,33,0,0
759,Dallas,0,49,0,0
760,Dallas,0,36,0,0
761,Dallas,0,56,0,0
762,Dallas,0,56,1,0
763,Dallas,0,35,1,0
764,Dallas,0,61,0,0
765,Dallas,1,30,0,0
766,Dallas,1,46,0,0
767,Dallas,1,64,0,0
768,Dallas,0,34,0,0
769,Dallas,1,44,0,0
770,Dallas,0,52,1,0
771,Dallas,1,45,0,0
772,Dallas,1,47,0,0
773,Dallas,0,48,0,0
774,Dallas,1,58,0,1
775,Dallas,0,36,0,1
776,Dallas,0,47,0,0
777,Dallas,1,36,1,0
778,Dallas,0,55,0,0
779,Dallas,0,31,0,0
780,Dallas,1,34,0,0
781,Dallas,1,56,0,0
782,Dallas,0,33,1,0
783,Dallas,0,52,0,0
784,Dallas,1,50,0,1
785,Dallas,0,30,0,0
786,Dallas,1,38,1,0
787,Dallas,0,60,0,0
788,Dallas,0,33,1,0
789,Dallas,1,48,1,0
790,Dallas,1,62,0,0
791,Dallas,1,41,0,0
792,Dallas,1,30,0,0
793,Dallas,1,59,0,1
794,Dallas,1,60,0,0
795,Dallas,0,40,0,1
796,Dallas,1,59,1,0
797,Dallas,1,38,0,0
798,Dallas,0,40,0,0
799,Dallas,1,29,0,0
800,Dallas,0,27,1,0
801,Dallas,0,64,0,0
802,Dallas,1,49,0,1
803,Dallas,0,49,1,0
804,Dallas,1,54,0,0
805,Dallas,0,29,0,0
806,Dallas,1,55,0,0
807,Dallas,1,29,0,0
808,Dallas,1,53,1,0
809,Dallas,0,25,0,1
810,Dallas,1,28,1,0
811,Dallas,0,32,0,0
812,Dallas,0,30,0,0
813,Dallas,0,30,0,0
814,Dallas,0,32,1,0
815,Dallas,1,27,0,0
816,Dallas,1,59,1,0
817,Dallas,1,54,0,0
818,Dallas,1,53,0,0
819,Dallas,0,38,0,0
820,Dallas,0,34,0,1
821,Dallas,1,34,0,0
822,Dallas,1,53,0,0
823,Dallas,0,36,0,1
824,Dallas,0,42,0,0
825,Dallas,0,26,0,0
826,Dallas,1,45,0,1
827,Dallas,0,62,0,0
828,Dallas,1,61,0,0
829,Dallas,1,59,1,1
830,Dallas,0,48,1,0
831,Dallas,0,29,0,0
832,Dallas,0,43,0,0
833,Dallas,0,49,0,0
834,Dallas,0,65,1,0
835,Dallas,0,33,0,0
836,Dallas,1,45,0,0
837,Dallas,0,44,0,0
838,Dallas,0,62,0,0
839,Dallas,1,55,0,0
840,Dallas,1,62,0,0
841,Dallas,0,62,0,0
842,Dallas,0,33,0,0
843,Dallas,1,37,0,0
844,Dallas,0,64,1,0
845,Dallas,0,57,0,0
846,Dallas,1,43,0,0
847,Dallas,0,45,1,0
848,Dallas,0,56,0,0
849,Dallas,1,31,0,0
850,Dallas,1,41,0,0
851,Dallas,1,63,0,1
852,Dallas,1,51,1,0
853,Dallas,1,55,0,0
854,Dallas,0,55,0,1
855,Dallas,0,34,0,0
856,Dallas,0,28,0,0
857,Dallas,1,61,1,0
858,Dallas,0,29,0,0
859,Dallas,0,50,1,0
860,Dallas,0,45,0,1
861,Dallas,1,63,0,0
862,Dallas,1,27,0,0
863,Dallas,0,56,0,0
864,Dallas,1,51,0,0
865,Dallas,0,40,0,0
866,Dallas,1,58,0,0
867,Dallas,0,37,0,0
868,Dallas,0,27,0,0
869,Dallas,0,40,0,0
870,Dallas,1,34,0,0
871,Dallas,1,39,0,0
872,Dallas,0,30,0,0
873,Dallas,0,64,1,0
874,Dallas,0,48,0,0
875,Dallas,0,30,0,0
876,Dallas,0,41,1,0
877,Dallas,0,57,0,0
878,Dallas,1,30,0,0
879,Dallas,0,59,1,0
880,Dallas,1,59,1,0
881,Dallas,1,49,0,0
882,Dallas,1,28,0,0
883,Dallas,0,48,1,0
884,Dallas,0,40,0,0
885,Dallas,0,44,1,0
886,Dallas,0,59,0,0
887,Dallas,0,32,0,1
888,Dallas,0,39,1,0
889,Dallas,1,48,0,0
890,Dallas,0,26,0,0
891,Dallas,0,47,1,0
892,Dallas,1,59,0,0
893,Dallas,0,52,0,0
894,Dallas,0,57,0,1
895,Dallas,1,28,1,0
896,Dallas,1,45,0,0
897,Dallas,0,56,0,0
898,Dallas,0,54,1,0
899,Dallas,1,46,0,1
900,Dallas,0,62,1,1
901,Dallas,1,29,1,0
902,Dallas,0,32,1,0
903,Dallas,0,63,0,0
904,Dallas,0,43,0,0
905,Dallas,0,45,0,0
906,Dallas,0,42,0,0
907,Dallas,1,35,1,0
908,Dallas,1,48,0,0
909,Dallas,1,34,1,0
910,Dallas,0,38,0,0
911,Dallas,0,64,0,0
912,Dallas,1,60,0,0
913,Dallas,1,36,0,0
914,Dallas,0,46,0,0
915,Dallas,0,30,1,0
916,Dallas,1,57,0,0
917,Dallas,1,39,0,1
918,Dallas,0,45,1,0
919,Dallas,0,48,1,0
920,Dallas,1,49,0,0
921,Dallas,0,29,0,0
922,Dallas,1,42,1,0
923,Dallas,0,57,0,0
924,Dallas,0,53,0,0
925,Dallas,0,31,0,0
926,Dallas,0,50,0,0
927,Dallas,1,60,0,0
928,Dallas,1,64,0,0
929,Dallas,1,37,0,0
930,Dallas,1,25,0,0
